scenario,avg_snowfall_inches,avg_simulated_demand,avg_simulated_capacity,avg_completed_trips,avg_unmet_demand,avg_unmet_demand_pct,avg_service_rate,avg_capacity_utilization,avg_simulated_duration
Normal Winter,0.0,137.72667708333333,205.71784375,137.71952083333332,0.00715625,0.00022257867547282215,0.9997774213245272,0.6347661181768501,14.025557037828456
Light Snow,0.5345156993281615,143.20046875,192.50858333333332,142.95658333333333,0.24388541666666666,0.00153665283632443,0.9984633471636756,0.7048970414370351,14.495305470626871
Moderate Snow,1.998581018695415,144.636375,167.82241666666667,140.23176041666667,4.404614583333333,0.021847402372104592,0.9781525976278954,0.7972911504135962,15.09795518853869
Heavy Snow,4.497417269261989,130.8419375,134.31730208333335,117.63288541666667,13.209052083333333,0.07663828217123252,0.9233617178287674,0.8478630047783481,15.519801740223622
Severe Snowstorm,8.673028072948632,114.85785416666667,102.03098958333334,90.44438541666666,24.41346875,0.17013553926760497,0.8298644607323951,0.8786272470618112,16.127072637669762
